"Clark, Brian","2719              ","DET","9020","WR","4","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","1","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Clark, Dallas","2262             ","IND","9001","TE","6","6","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","53","37   ","347 ","3 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Clark, Desmond D.","1664         ","CHI","9019","TE","5","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","2","1     ","12  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Clausen, Jimmy","11458           ","CAR","9028","QB","15","10","157","299","1558","9 ","3 ","0","33","223","23   ","57  ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","2"
"Clayton, Mark","2479             ","STL","9025","WR","5","5","0    ","0  ","0   ","0 ","0 ","0","0","0","1       ","6   ","0 ","0","42","23   ","306 ","2 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Clayton, Michael","3078          ","NYG","9015","WR","6","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","4","2     ","19  ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Clayton, Thomas","2809           ","NE ","9003","RB","3","0","0    ","0  ","0   ","0 ","0 ","0","0","0","7       ","17  ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Clemens, Kellen","2618           ","NYJ","9004","QB","2","0","1    ","2  ","6   ","0 ","0 ","0","0","0","2       ","9   ","1 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Cloherty, Colin","11408          ","SF ","9027","TE","2","0","0    ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","0","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Clowney, David","2802            ","CAR","9028","WR","13","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","16","7    ","124 ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
"Coats, Daniel","2840             ","DEN","9009","RB","10","0","0   ","0  ","0   ","0 ","0 ","0","0","0","0       ","0   ","0 ","0","2","0     ","0   ","0 ","0","0","0","0","0        ","0  ","0","0","0","0","0","0"
